start,end,cost
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJV02yLVhSUkYR5Urrpdyav5w,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJI3hCtFlSUkYRPnfwEKyXdTk,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJOW51C1lSUkYRRv6n34W9-Zg,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJj5kfbFlSUkYRcDRZTsny7_c,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJpyBCaFlSUkYR3LHwM6zxRjU,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJL3cdF1dSUkYRrSCPkRNdtPE,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJgXdTbFdSUkYR33h2wlG_Zwk,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJ64wzbldSUkYR5FeQ9EKDTkU,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJ7feGfFdSUkYRmmsyva5Yh7g,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJRwYQ1llSUkYRMKaZjz2gpdg,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJmQYH01lSUkYRA5sfbpFn4ag,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJaU2CalhSUkYR16Poj9gzgIw,9.60070730000235e-07
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJt2H3cFhSUkYRAkkFfX87Bq8,3.0330337799947795e-06
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJRZDreVhSUkYRo3ujslhgkNQ,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJuRTCa1hSUkYRZctNq7Wpmys,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJCy4tOFhSUkYR0RImuvsSO1g,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJtYl80VlSUkYRHsPJ77_LXm8,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJwTS011lSUkYROOaIBw6_t6k,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJ7-bcfFdSUkYRAi_D5VAiANk,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJb-LjZFdSUkYR0IQcqxmpIDY,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJBWUZb1dSUkYR0KDo40YbcFQ,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJDfnLZ1lSUkYRchF_if80LfE,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJsRh_oFlSUkYRkBBHQUeoKcI,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJ9cuitllSUkYRd6ZoiDSinIM,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJk2Y2M1hSUkYR8cXNNRfosIY,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJCy4tOFhSUkYRBiS5iJUrGnY,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJj1RhMlhSUkYRxwx00g4P0QE,0
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJuYkcKlhSUkYRFPCipW5rTvU,1.659940000010251e-07
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJP6TdhFdSUkYRdrsWKXZMAs8,7.22763139996971e-07
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJf9Y9sFdSUkYRmaDEJhCweGc,2.8724466300069107e-06
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJozaGTFZSUkYRNtWl2AGUPkI,3.5474346400132527e-06
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJozaGTFZSUkYRjY7TpiWcsro,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJr8hSvVdSUkYR9El_JWHKncY,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJuYkcKlhSUkYRkyJyE8H3_fI,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJV02yLVhSUkYR5Urrpdyav5w,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJI3hCtFlSUkYRPnfwEKyXdTk,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJOW51C1lSUkYRRv6n34W9-Zg,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJj5kfbFlSUkYRcDRZTsny7_c,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJpyBCaFlSUkYR3LHwM6zxRjU,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJL3cdF1dSUkYRrSCPkRNdtPE,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJgXdTbFdSUkYR33h2wlG_Zwk,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJ64wzbldSUkYR5FeQ9EKDTkU,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJ7feGfFdSUkYRmmsyva5Yh7g,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJRwYQ1llSUkYRMKaZjz2gpdg,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJmQYH01lSUkYRA5sfbpFn4ag,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJaU2CalhSUkYR16Poj9gzgIw,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJt2H3cFhSUkYRAkkFfX87Bq8,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJRZDreVhSUkYRo3ujslhgkNQ,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJuRTCa1hSUkYRZctNq7Wpmys,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJCy4tOFhSUkYR0RImuvsSO1g,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJtYl80VlSUkYRHsPJ77_LXm8,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJwTS011lSUkYROOaIBw6_t6k,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJ7-bcfFdSUkYRAi_D5VAiANk,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJb-LjZFdSUkYR0IQcqxmpIDY,inf
ChIJj1RhMlhSUkYRxwx00g4P0QE,ChIJBWUZb1dSUkYR0KDo40YbcFQ,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJDfnLZ1lSUkYRchF_if80LfE,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJsRh_oFlSUkYRkBBHQUeoKcI,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJ9cuitllSUkYRd6ZoiDSinIM,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJk2Y2M1hSUkYR8cXNNRfosIY,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJCy4tOFhSUkYRBiS5iJUrGnY,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJj1RhMlhSUkYRxwx00g4P0QE,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJuYkcKlhSUkYRFPCipW5rTvU,0
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJP6TdhFdSUkYRdrsWKXZMAs8,5.567691399959459e-07
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJf9Y9sFdSUkYRmaDEJhCweGc,2.7064526300058858e-06
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJozaGTFZSUkYRNtWl2AGUPkI,3.3814406400122277e-06
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJozaGTFZSUkYRjY7TpiWcsro,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJr8hSvVdSUkYR9El_JWHKncY,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJuYkcKlhSUkYRkyJyE8H3_fI,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJV02yLVhSUkYR5Urrpdyav5w,inf
ChIJuYkcKlhSUkYRFPCipW5rTvU,ChIJI3hCtFlSUkYRPnfwEKyXdTk,inf
